Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Software Engineer,Noida,Full Time,Software Development Department,5 May 2022,2.0,5.0,2.0,2.0,5.0,3.0,2.0,work life balance,"Brand name in industry.
Hr policy"
Area Sales Manager,Patna,Full Time,BD / Pre Sales Department,9 Jan 2022,5.0,4.0,5.0,4.0,4.0,4.0,4.0,Very slow process for any type of approval,"Work Planning, smart work place, high quality."
Senior Associate,Kanchipuram,Full Time,Engineering Department,4 Feb 2022,5.0,4.0,5.0,4.0,4.0,4.0,4.0,"Food, transport.",You will get salary on time.
Branch Logistic Head - Pune - Rest Of MH And Goa,Pune,Full Time,Logistics Department,1 Mar 2022,2.0,1.0,2.0,3.0,1.0,1.0,1.0,Dirty politics.,I loved the company the day i put my resignation. I rather should have thrown it to their face. I appreciate my colleagues with whom i worked and at the same time i pity everyone as their job will be taken few months later.
Assistant Manager- Finance,Kolkata,Full Time,Accounting & Taxation Department,3 Feb 2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Spineless Management, pathetic work culture. You will have breathing problem in this company",Good environment to work here
Senior Associate,Chennai,Full Time,Finance Department,2 Jun 2023,5.0,4.0,5.0,5.0,5.0,4.0,3.0,Work life balance not upto mark,Flexible good work places
Engineer Mobile Reapir Analysis Hardware And Software L4 Level.,"Noida, Uttar Pradesh",,Manufacturing Department,1 Jul 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Salary,"Company policy, annual salary hike, work performance award, discipline environment"
Samsung Product Trainer Customer Relationship Management,Patna,,Consumer Electronics Department,2 Jan 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,My team ..with good team work,There is no growth....and they will give false hope for your development...and make you to lose the other oppertunity...they promised me for my promosion for that I left so many companies now they absconded me.....yet I have done notice period
Senior Sales Executive,Hyderabad/Secunderabad,,BD / Pre Sales Department,1 Oct 2021,1.0,1.0,5.0,1.0,1.0,1.0,1.0,Overall Satisfy and Great company,
Branch Service Accounts And Admin,Udaipur,,Accounting & Taxation Department,6 May 2022,5.0,5.0,4.0,5.0,4.0,5.0,4.0,,
Senior Engineer,Noida,Full Time,Production Department,7 Jan 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"People oriented company, pioneer in technology",No Learning
Ran Integration Engineer,Gurgaon/Gurugram,Full Time,Telecom Department,7 Jun 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,I am very happy work with Samsung and Samsung provides job security work culture management and common policies so far,Nothing
Apprentice Trainee,Gurugram,Full Time,Noida Department,9 Sep 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,There is job safety very very excellent and production is also very very excellent,"Here, we get only chance of apprentice but we didn't get chance to remain part of company as an operator🤨 i miss this company very much. I am waiting your calling msg, call Or gmail. I pray to God that this company get a big achievement"
Rso,Madurai,Full Time,,3 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Work culture, Company policies",TARGET
Regional Manager,Gurgaon/Gurugram,Full Time,,7 May 2022,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Systematic and work ethic. Guidance from management.,Too much permission and difficulties on product pricing which conduct chaos.
Senior Assistant Engineer,Gautam Buddha Nagar,,HHP material kitting Department,2 Mar 2022,5.0,5.0,3.0,4.0,5.0,5.0,3.0,Excellent to work with,Growth related
Associated  Senior Engineer,NOIDA,,"Operations, Maintenance & Support Department",0 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Better for learning and development.,"Work culture, skill development"
Senior Team Leader,"Pune, Maharashtra",,After Sales Service & Repair Department,0 Jun 2023,5.0,5.0,5.0,3.0,5.0,5.0,3.0,"Salary, appraisal",Work culture is excellent & well  balanced
Senior Associate,Chennai,,Research & Development Department,6 Jan 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Nil,Good working culture
Assistant Manager,Noida,,Engineering Department,7 Apr 2022,5.0,4.0,4.0,5.0,5.0,4.0,4.0,Selary increment criteria changed so growth is slow.,
Samsung Experience Consultant,Nagpur,Full Time,Retail Store Operations Department,9 Apr 2021,3.0,1.0,1.0,1.0,4.0,2.0,1.0,"Getting salary on time ,","This one is a offrole(Thirdparty) position & working for offline market & after mid 2020 company was reduced salary of all SEC upto 5000k to reduce cost ,not due to pandemic. We are facing competition from other brand ,but we are facing competition from our own brand also ,for Ex company launched A series for offline market , and F & M series for a E-Commerce ,compare to A series F & M series gives more specs then A series ....I am working a SEC for 4.5 year ,but instead of increment ,company reduced our salary.
We are not getting pay as per Qualification(PG), timing ,experiance & skills.
We are also require to work during festivals like Diwali & Eid without overtime & additional pay.
This job is very hectic....Read More"
Sales Executive,Wardha,Full Time,,6 Feb 2022,5.0,5.0,5.0,5.0,4.0,5.0,3.0,Good team work,Helpful team work good relationship of employee
Area Sales Manager,Kolkata,,BD / Pre Sales Department,1 Mar 2022,3.0,3.0,3.0,3.0,2.0,2.0,1.0,"Job Security is zero, No work life balance in Sales. HR policies are good but No role of HR in sales.",Worst incentive policy. No one will get 100 percent even if they archive moe than 100 percent.
Regional Sales Officer,Lucknow,,Sales & Distribution Department,5 Mar 2022,5.0,4.0,5.0,3.0,4.0,4.0,2.0,Company policies,Promotion
Senior Associate - Purchase,Gurgaon/Gurugram,,Purchase Department,9 Apr 2022,5.0,4.0,4.0,4.0,5.0,4.0,4.0,Best place to work,"It is a very good manufacturing company, and provides a lot of convenience to its employees. Working here was the best experience of my life."
Apprentice Trainee,Sector 81 Noida,,,0 Sep 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"I did only one year here as apprenticeship training, after that the company fired us. Because Bo doesn't make the people close to him permanent, he does it to the people of other states.",Everything
Senior Sales Executive,Surat,,BD / Pre Sales Department,5 Apr 2022,5.0,4.0,5.0,4.0,5.0,5.0,4.0,Nothing,JOB SECURITY
Manager,Mumbai,,Audit & Control Department,2 Apr 2022,3.0,2.0,2.0,5.0,1.0,3.0,2.0,"Nothing to say, average Organization.",Overall average organization
Area Business Manager,Gwalior,,BD / Pre Sales Department,0 Apr 2022,4.0,5.0,5.0,5.0,3.0,5.0,3.0,Good work environment and culture,Salary is decent but career growth is slow
Sales Executive,Kolkata,,Mobile Department,2 Dec 2021,4.0,3.0,5.0,4.0,4.0,5.0,3.0,,
Smt Technician,Noida,Full Time,SMD Department,3 Feb 2022,5.0,5.0,3.0,3.0,5.0,5.0,5.0,Good security good skill,Good work good taring
MANAGER CSR- SOUTH INDIA,Chennai,Full Time,Corporate Social Responsibility Department,1 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Work culture,company policies",Nothing
Area Service Manager,Surat,Full Time,Voice / Blended Department,0 May 2022,5.0,3.0,5.0,4.0,4.0,5.0,5.0,Management and senior are very good,Good work environment and culture.
Senior Engineer,Chennai,,New Product Development Department,9 May 2022,5.0,3.0,4.0,4.0,5.0,5.0,4.0,Nothing,Work life balance is good .
Senior Engineer Mechanical,Noida,,Engineering & Manufacturing Department,0 Jun 2022,3.0,4.0,3.0,4.0,5.0,2.0,3.0,salary growth n mental work pressure,Salary and benefits
Assistant Manager Finance,Lucknow,,Accounting & Taxation Department,9 Dec 2021,3.0,1.0,3.0,5.0,1.0,1.0,1.0,Work life balance and Job security,Employee welfare is good
Senior Engineer,Greater Noida,,Innovation Department,1 May 2022,4.0,5.0,3.0,4.0,5.0,5.0,4.0,Comfort zone company,"Job security is average but work culture and management is good, overall is good"
Senior Sales Executive,Bareilly,,BD / Pre Sales Department,8 Jan 2022,4.0,4.0,4.0,3.0,3.0,4.0,3.0,Nothing,"Good    wark 
."
Mechanical Engineer,Badaun,,,1 Jul 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"No
 Disatisfaid",Job security is must for a secure future so looking for more of that
Sales Executive,Mumbai,,Sales Department,4 Mar 2022,5.0,5.0,5.0,5.0,5.0,5.0,3.0,Nothing such,
Sales Promoter,"Amritsar, Punjab",Full Time,Retail & B2C Sales Department,8 Dec 2022,4.0,3.0,4.0,5.0,5.0,4.0,3.0,Good to make communication skills,Some time rudeness
Professional,Mumbai,Full Time,Quality Assurance and Testing Department,8 Feb 2022,4.0,5.0,4.0,5.0,4.0,4.0,3.0,Work life balance is good,"Good work environment and culture.there is a huge cafeteria and Development skills and learning also.
But There is no any appraisals and promotions in last 3 years. But All over working with Samsung is Good"
Senior Sales Manager,Jabalpur,,,9 Oct 2021,4.0,3.0,5.0,5.0,3.0,3.0,2.0,"In this volatile environments, job security is very tough to predict. Management and company policiee are very transparent. Work culture is fine and it depends from department to department.","Majority of the employees are off roll but yes on the basis of performance, employees do get an opportunity to be in the Samsung pay roll."
Manager,Mumbai Suburban,,Operations Department,7 Jun 2022,5.0,5.0,5.0,5.0,3.0,4.0,4.0,Great environment... A lot to learn!!,Its just 4 months for me... I haven't disliked anything yet...
Regional Sales Officer,Chandigarh,,Sales b2b Department,6 Dec 2021,5.0,5.0,5.0,5.0,4.0,5.0,5.0,"Jo Security, Company Culture","Career Growth, Work-Life balance, Skill Development"
Software Developer,Noida,,Software Development Department,5 Nov 2021,3.0,2.0,2.0,3.0,4.0,4.0,2.0,"I got so attached with the company's atmosphere, it's decorum.",Nothing wrong in that company.
Software Test Engineer,Noida,,,5 Dec 2021,5.0,5.0,5.0,5.0,3.0,5.0,5.0,Management like and job employees services,3 party
Computer Operator,Indian  Noida,,Logistics Department,1 Apr 2022,4.0,4.0,4.0,2.0,2.0,5.0,4.0,The MNC Company is every person know ...and very good product for overall,No I'm always like....in this company
FDC Dispatch And Billing In SAP Process,Chennai,,Executive Office Department,8 Nov 2021,5.0,4.0,5.0,4.0,4.0,4.0,4.0,I Love the job,This work is best loved him
Contract Labour,Sunghuvarchathiram,,Vd  Department,6 Feb 2022,1.0,3.0,3.0,4.0,3.0,4.0,3.0,,
Rollout /Service Delivery  Manager,Delhi NCR,Full Time,Network Department,1 Feb 2022,4.0,5.0,4.0,4.0,4.0,5.0,3.0,Work Culture is good  and  but timely increaments also done,There is no actual carrier growth
Senior Assistant Engineer,Noida,Full Time,Construction / Manufacturing Department,6 Jan 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Security, safety and company policies",No
Operator 2,Noida,Full Time,Operator  Department,0 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Proudly,Nothing
Sales Manager,Surat,Full Time,Enterprise & B2B Sales Department,6 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good Experience,Anhance your skill
Assistant Manager,Chennai,,Production Department,2 Dec 2021,3.0,1.0,3.0,3.0,3.0,1.0,3.0,Brand name only,"Work life balance, very late departure to home, always overtime"
Sales Executive,Bhubaneswar,,,8 Jan 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Best company in world,No
Hhp Engineer   (working remotely),,,Hhp Department,9 May 2022,4.0,3.0,4.0,4.0,4.0,5.0,2.0,My favorite company,Don't like other company
Iti Electrician,Noida Uttar Pardesh,,Maintenance Department,0 Apr 2022,4.0,2.0,3.0,5.0,3.0,4.0,3.0,Good but not a very good,Good work environment and culture. Company policies are very good.
Management Information System Executive,Chapra,,Sales Support & Operations Department,2 Oct 2021,4.0,5.0,4.0,4.0,5.0,5.0,3.0,Nothing,"Business trips
Flexible working hour
Good Work life balance"
Chief Engineer,Noida,,Software Development Department,3 Sep 2021,3.0,4.0,3.0,3.0,4.0,3.0,3.0,"Less pay
Less growth opportunity",
Area Sales Executive,Ranchi,Full Time,Enterprise & B2B Sales Department,9 Dec 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Best in everything like security,culture,senior management all company policies is best",Nothing
Senior Associate,Noida,Full Time,Operations Department,7 Mar 2023,4.0,3.0,3.0,4.0,5.0,2.0,4.0,Rich with lots of money,Policy of not any reason
Sales Manager,Kota,Full Time,Enterprise & B2B Sales Department,3 Dec 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good working experience overall,Good Company overall
Deputy General Manager-Accounts,Gurgaon/Gurugram,Full Time,Operations Department,5 Nov 2021,5.0,4.0,4.0,5.0,4.0,4.0,5.0,"Company's policies are very strong.
New developments innovations takes place at regular intervals.","Assignment of work based on skill, work life balance, good renumeration along with overtime compensation. Work culture is also based around mutual respect, and that is manifested by their special code of conduct."
Senior Assistant Engineer,Noida,,Software Development Department,8 May 2021,4.0,4.0,4.0,4.0,5.0,4.0,4.0,Screening and interviewing process for new recruits.,Work culture
Supplier Quality Engineer,Chennai,,Production & Manufacturing Department,1 Jan 2022,4.0,4.0,4.0,3.0,3.0,4.0,3.0,Less Compensation,Yes because of employee beneficiary
Senior Production Executive,Chennai,,"Operations, Maintenance & Support Department",9 Apr 2022,3.0,3.0,3.0,4.0,4.0,3.0,3.0,"Innovation, market friendly",Nothing to say
Key Accounts And Sales Manager,Chennai,,Retail & B2C Sales Department,1 Sep 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good work environment,Salary is not decent
Engineering Supervisor,Ludhiana,,Back Office Department,9 Dec 2021,4.0,3.0,4.0,4.0,4.0,4.0,3.0,"Good company to learn about Mobile domain.
Work depend upon your team.
Work life balance is good.
Transport facility and meal facility is good.","Less compensation as per market standard.
Promotion policy they change at runtime.
no wfh"
Lead Software Engineer,Noida,,Quality Assurance and Testing Department,9 Jun 2021,4.0,5.0,3.0,3.0,4.0,4.0,3.0,,
Sales Team Leader,Hyderabad/Secunderabad,Full Time,BD / Pre Sales Department,6 Sep 2021,5.0,5.0,5.0,3.0,5.0,5.0,5.0,"Very Good work experience and career growth also is there , awesome place for work","Only thing is over time work , missing family life , can't spend time with my kid"
Associate   (working remotely),,Full Time,Quality Assurance and Testing Department,7 Feb 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Friendship,management is worst
Senior Executive,Jaipur,,Telecom Department,6 Sep 2021,3.0,3.0,1.0,3.0,1.0,2.0,2.0,This is my opinion as i was on project so eveeything was as per costumers desire. If this job is pureky of samsung i hope it would be like not this...work life culture everything would be different.,Job security
Associate Partner Sales,Ahmedabad,,Enterprise & B2B Sales Department,0 Jun 2021,5.0,5.0,5.0,5.0,5.0,5.0,3.0,"Good work environment and culture. Teammates are transparent. There is a huge cafeteria and gaming arcade for chilling. Company policies are good,  appraisals are fair and give good salary hike and bonus every year.",Excellent
Sales Officer,Sheohar,,Enterprise & B2B Sales Department,5 Feb 2022,5.0,5.0,5.0,3.0,5.0,5.0,5.0,Nothing,Company policies are very good appraisals are fair and thay give good salary hike depend you knowledge and galso giving bonus every year
Sales Executive,Kanpur Nagar,,Retail & B2C Sales Department,5 Nov 2021,3.0,4.0,5.0,4.0,5.0,5.0,2.0,There is a lot of politics and the mangement doesn't address our issues salary is decent but career growth is very slow,It's is good company
Sriperumbadhur.,"Chennai, Tamil Nadu",,IT Infrastructure Services Department,4 Nov 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,No dislike,This company is a best plateform where we can lern more technical knowledge and growth our future
Electrical Site Engineer,Red Building,,Software Development Department,9 Aug 2019,5.0,3.0,3.0,3.0,4.0,4.0,4.0,Nothing all is well,It's a process and policy driven organization and a very Good Paymaster
Regional Marketing Manager,Patna,,Marketing Department,5 Sep 2021,4.0,3.0,3.0,5.0,4.0,3.0,4.0,Work life balance is not there and processes at times are very painful,The work life balance was good indeed one of the best in my career. Employee welfare polices and perks are also good
Manager - Retail Campaign And Merchandising,Gurgaon/Gurugram,,Marketing Department,0 May 2022,3.0,5.0,1.0,5.0,2.0,3.0,1.0,"The career advancement and personal growth is a serious problem. They make people redundant eventually. The appraisal system is one the saddest I have seen in my 15 years. Not transparent at all. I was recommended as an employee of the year by my department and the same year handed a 3 rating and a transfer to another department with no  explanation. It majorly depends and your Boss and how much they like you. Numbers , Metrics and performance aint measured. 
The working women population is also highly screwed and its majorly a male dominated company....Read More",
Regional Sales Officer,Gurgaon,Full Time,Sales & Distribution Department,8 Jun 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Very good company culture,No
Maintenance Electrician,Greater Noida,Full Time,,1 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Transfarmer UPS motor ganretor,"Good place for job security , good learning, but compesation not good for seniours"
Chief Engineer,Noida,Full Time,Software Development Department,5 Nov 2021,2.0,1.0,5.0,1.0,5.0,5.0,1.0,"Work life balance is not so good , having strict hours",Brand name and Policies
